Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
03 Biological and sport sciences,All undergraduate,Full-time,All,Total,2019/20,24775
03 Biological and sport sciences,All undergraduate,Part-time,All,Female,2019/20,390
03 Biological and sport sciences,All undergraduate,Part-time,All,Male,2019/20,630
03 Biological and sport sciences,All undergraduate,Part-time,All,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Part-time,All,Total,2019/20,1015
03 Biological and sport sciences,All undergraduate,All,England,Female,2019/20,9675
03 Biological and sport sciences,All undergraduate,All,England,Male,2019/20,10630
03 Biological and sport sciences,All undergraduate,All,England,Other,2019/20,15
03 Biological and sport sciences,All undergraduate,All,England,Total,2019/20,20320
03 Biological and sport sciences,All undergraduate,Full-time,England,Female,2019/20,9335
03 Biological and sport sciences,All undergraduate,Full-time,England,Male,2019/20,10085
03 Biological and sport sciences,All undergraduate,Full-time,England,Other,2019/20,15
03 Biological and sport sciences,All undergraduate,Full-time,England,Total,2019/20,19430
03 Biological and sport sciences,All undergraduate,Part-time,England,Female,2019/20,345
03 Biological and sport sciences,All undergraduate,Part-time,England,Male,2019/20,550
03 Biological and sport sciences,All undergraduate,Part-time,England,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Part-time,England,Total,2019/20,890
03 Biological and sport sciences,All undergraduate,All,Northern Ireland,Female,2019/20,165
03 Biological and sport sciences,All undergraduate,All,Northern Ireland,Male,2019/20,200
03 Biological and sport sciences,All undergraduate,All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,All,Northern Ireland,Total,2019/20,365
03 Biological and sport sciences,All undergraduate,Full-time,Northern Ireland,Female,2019/20,160
03 Biological and sport sciences,All undergraduate,Full-time,Northern Ireland,Male,2019/20,180
03 Biological and sport sciences,All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Full-time,Northern Ireland,Total,2019/20,340
03 Biological and sport sciences,All undergraduate,Part-time,Northern Ireland,Female,2019/20,10
03 Biological and sport sciences,All undergraduate,Part-time,Northern Ireland,Male,2019/20,15
03 Biological and sport sciences,All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Part-time,Northern Ireland,Total,2019/20,25
03 Biological and sport sciences,All undergraduate,All,Scotland,Female,2019/20,1390
03 Biological and sport sciences,All undergraduate,All,Scotland,Male,2019/20,1055
03 Biological and sport sciences,All undergraduate,All,Scotland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,All,Scotland,Total,2019/20,2445
03 Biological and sport sciences,All undergraduate,Full-time,Scotland,Female,2019/20,1365
03 Biological and sport sciences,All undergraduate,Full-time,Scotland,Male,2019/20,1010
03 Biological and sport sciences,All undergraduate,Full-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Full-time,Scotland,Total,2019/20,2375
03 Biological and sport sciences,All undergraduate,Part-time,Scotland,Female,2019/20,25
03 Biological and sport sciences,All undergraduate,Part-time,Scotland,Male,2019/20,45
03 Biological and sport sciences,All undergraduate,Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Part-time,Scotland,Total,2019/20,70
03 Biological and sport sciences,All undergraduate,All,Wales,Female,2019/20,1125
03 Biological and sport sciences,All undergraduate,All,Wales,Male,2019/20,1535
03 Biological and sport sciences,All undergraduate,All,Wales,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,All,Wales,Total,2019/20,2660
03 Biological and sport sciences,All undergraduate,Full-time,Wales,Female,2019/20,1115
03 Biological and sport sciences,All undergraduate,Full-time,Wales,Male,2019/20,1515
03 Biological and sport sciences,All undergraduate,Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Full-time,Wales,Total,2019/20,2630
03 Biological and sport sciences,All undergraduate,Part-time,Wales,Female,2019/20,10
03 Biological and sport sciences,All undergraduate,Part-time,Wales,Male,2019/20,20
03 Biological and sport sciences,All undergraduate,Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All undergraduate,Part-time,Wales,Total,2019/20,30
04 Psychology,All,All,All,Female,2019/20,26040
04 Psychology,All,All,All,Male,2019/20,5700
04 Psychology,All,All,All,Other,2019/20,85
04 Psychology,All,All,All,Total,2019/20,31825
04 Psychology,All,Full-time,All,Female,2019/20,22375
04 Psychology,All,Full-time,All,Male,2019/20,4770
04 Psychology,All,Full-time,All,Other,2019/20,80
04 Psychology,All,Full-time,All,Total,2019/20,27220
04 Psychology,All,Part-time,All,Female,2019/20,3665
04 Psychology,All,Part-time,All,Male,2019/20,930
04 Psychology,All,Part-time,All,Other,2019/20,10
04 Psychology,All,Part-time,All,Total,2019/20,4605
04 Psychology,All,All,England,Female,2019/20,22085
04 Psychology,All,All,England,Male,2019/20,4735
04 Psychology,All,All,England,Other,2019/20,75
04 Psychology,All,All,England,Total,2019/20,26895
04 Psychology,All,Full-time,England,Female,2019/20,18740
04 Psychology,All,Full-time,England,Male,2019/20,3915
04 Psychology,All,Full-time,England,Other,2019/20,65
04 Psychology,All,Full-time,England,Total,2019/20,22720
04 Psychology,All,Part-time,England,Female,2019/20,3345
04 Psychology,All,Part-time,England,Male,2019/20,820
04 Psychology,All,Part-time,England,Other,2019/20,10
04 Psychology,All,Part-time,England,Total,2019/20,4170
04 Psychology,All,All,Northern Ireland,Female,2019/20,370
04 Psychology,All,All,Northern Ireland,Male,2019/20,70
04 Psychology,All,All,Northern Ireland,Other,2019/20,0
04 Psychology,All,All,Northern Ireland,Total,2019/20,445
04 Psychology,All,Full-time,Northern Ireland,Female,2019/20,295
04 Psychology,All,Full-time,Northern Ireland,Male,2019/20,55
04 Psychology,All,Full-time,Northern Ireland,Other,2019/20,0
04 Psychology,All,Full-time,Northern Ireland,Total,2019/20,355
04 Psychology,All,Part-time,Northern Ireland,Female,2019/20,75
04 Psychology,All,Part-time,Northern Ireland,Male,2019/20,15
04 Psychology,All,Part-time,Northern Ireland,Other,2019/20,0
04 Psychology,All,Part-time,Northern Ireland,Total,2019/20,90
04 Psychology,All,All,Scotland,Female,2019/20,2100
04 Psychology,All,All,Scotland,Male,2019/20,540
04 Psychology,All,All,Scotland,Other,2019/20,10
04 Psychology,All,All,Scotland,Total,2019/20,2645
04 Psychology,All,Full-time,Scotland,Female,2019/20,1955
04 Psychology,All,Full-time,Scotland,Male,2019/20,475
04 Psychology,All,Full-time,Scotland,Other,2019/20,10
04 Psychology,All,Full-time,Scotland,Total,2019/20,2435
04 Psychology,All,Part-time,Scotland,Female,2019/20,150
04 Psychology,All,Part-time,Scotland,Male,2019/20,65
04 Psychology,All,Part-time,Scotland,Other,2019/20,0
04 Psychology,All,Part-time,Scotland,Total,2019/20,210
04 Psychology,All,All,Wales,Female,2019/20,1485
04 Psychology,All,All,Wales,Male,2019/20,355
04 Psychology,All,All,Wales,Other,2019/20,5
04 Psychology,All,All,Wales,Total,2019/20,1840
04 Psychology,All,Full-time,Wales,Female,2019/20,1385
04 Psychology,All,Full-time,Wales,Male,2019/20,325
04 Psychology,All,Full-time,Wales,Other,2019/20,5
04 Psychology,All,Full-time,Wales,Total,2019/20,1710
04 Psychology,All,Part-time,Wales,Female,2019/20,100
04 Psychology,All,Part-time,Wales,Male,2019/20,30
04 Psychology,All,Part-time,Wales,Other,2019/20,0
04 Psychology,All,Part-time,Wales,Total,2019/20,130
04 Psychology,Postgraduate (research),All,All,Female,2019/20,1235
04 Psychology,Postgraduate (research),All,All,Male,2019/20,375
04 Psychology,Postgraduate (research),All,All,Other,2019/20,0
04 Psychology,Postgraduate (research),All,All,Total,2019/20,1615
04 Psychology,Postgraduate (research),Full-time,All,Female,2019/20,1040
04 Psychology,Postgraduate (research),Full-time,All,Male,2019/20,305
04 Psychology,Postgraduate (research),Full-time,All,Other,2019/20,0
04 Psychology,Postgraduate (research),Full-time,All,Total,2019/20,1345
04 Psychology,Postgraduate (research),Part-time,All,Female,2019/20,195
04 Psychology,Postgraduate (research),Part-time,All,Male,2019/20,70
04 Psychology,Postgraduate (research),Part-time,All,Other,2019/20,0
04 Psychology,Postgraduate (research),Part-time,All,Total,2019/20,265
04 Psychology,Postgraduate (research),All,England,Female,2019/20,1060
04 Psychology,Postgraduate (research),All,England,Male,2019/20,320
04 Psychology,Postgraduate (research),All,England,Other,2019/20,0
04 Psychology,Postgraduate (research),All,England,Total,2019/20,1380
04 Psychology,Postgraduate (research),Full-time,England,Female,2019/20,880
04 Psychology,Postgraduate (research),Full-time,England,Male,2019/20,255
04 Psychology,Postgraduate (research),Full-time,England,Other,2019/20,0
04 Psychology,Postgraduate (research),Full-time,England,Total,2019/20,1135
04 Psychology,Postgraduate (research),Part-time,England,Female,2019/20,180
04 Psychology,Postgraduate (research),Part-time,England,Male,2019/20,65
04 Psychology,Postgraduate (research),Part-time,England,Other,2019/20,0
04 Psychology,Postgraduate (research),Part-time,England,Total,2019/20,245
04 Psychology,Postgraduate (research),All,Northern Ireland,Female,2019/20,25
04 Psychology,Postgraduate (research),All,Northern Ireland,Male,2019/20,5
04 Psychology,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
04 Psychology,Postgraduate (research),All,Northern Ireland,Total,2019/20,25
04 Psychology,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,25
04 Psychology,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,0
04 Psychology,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
04 Psychology,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,25
04 Psychology,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,0
04 Psychology,Postgraduate (research),All,Scotland,Female,2019/20,65
04 Psychology,Postgraduate (research),All,Scotland,Male,2019/20,20
04 Psychology,Postgraduate (research),All,Scotland,Other,2019/20,0
04 Psychology,Postgraduate (research),All,Scotland,Total,2019/20,85
04 Psychology,Postgraduate (research),Full-time,Scotland,Female,2019/20,55
04 Psychology,Postgraduate (research),Full-time,Scotland,Male,2019/20,20
04 Psychology,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
04 Psychology,Postgraduate (research),Full-time,Scotland,Total,2019/20,75
04 Psychology,Postgraduate (research),Part-time,Scotland,Female,2019/20,10
04 Psychology,Postgraduate (research),Part-time,Scotland,Male,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Scotland,Total,2019/20,10
04 Psychology,Postgraduate (research),All,Wales,Female,2019/20,90
04 Psychology,Postgraduate (research),All,Wales,Male,2019/20,35
04 Psychology,Postgraduate (research),All,Wales,Other,2019/20,0
04 Psychology,Postgraduate (research),All,Wales,Total,2019/20,125
04 Psychology,Postgraduate (research),Full-time,Wales,Female,2019/20,85
04 Psychology,Postgraduate (research),Full-time,Wales,Male,2019/20,30
04 Psychology,Postgraduate (research),Full-time,Wales,Other,2019/20,0
04 Psychology,Postgraduate (research),Full-time,Wales,Total,2019/20,115
04 Psychology,Postgraduate (research),Part-time,Wales,Female,2019/20,5
04 Psychology,Postgraduate (research),Part-time,Wales,Male,2019/20,5
04 Psychology,Postgraduate (research),Part-time,Wales,Other,2019/20,0
04 Psychology,Postgraduate (research),Part-time,Wales,Total,2019/20,10
04 Psychology,Postgraduate (taught),All,All,Female,2019/20,9250
04 Psychology,Postgraduate (taught),All,All,Male,2019/20,2135
04 Psychology,Postgraduate (taught),All,All,Other,2019/20,65
04 Psychology,Postgraduate (taught),All,All,Total,2019/20,11445
04 Psychology,Postgraduate (taught),Full-time,All,Female,2019/20,6550
04 Psychology,Postgraduate (taught),Full-time,All,Male,2019/20,1470
04 Psychology,Postgraduate (taught),Full-time,All,Other,2019/20,60
04 Psychology,Postgraduate (taught),Full-time,All,Total,2019/20,8080
04 Psychology,Postgraduate (taught),Part-time,All,Female,2019/20,2695
04 Psychology,Postgraduate (taught),Part-time,All,Male,2019/20,665
04 Psychology,Postgraduate (taught),Part-time,All,Other,2019/20,5
04 Psychology,Postgraduate (taught),Part-time,All,Total,2019/20,3365
04 Psychology,Postgraduate (taught),All,England,Female,2019/20,7830
04 Psychology,Postgraduate (taught),All,England,Male,2019/20,1750
04 Psychology,Postgraduate (taught),All,England,Other,2019/20,55
04 Psychology,Postgraduate (taught),All,England,Total,2019/20,9635
04 Psychology,Postgraduate (taught),Full-time,England,Female,2019/20,5375
04 Psychology,Postgraduate (taught),Full-time,England,Male,2019/20,1170
04 Psychology,Postgraduate (taught),Full-time,England,Other,2019/20,50
04 Psychology,Postgraduate (taught),Full-time,England,Total,2019/20,6595
04 Psychology,Postgraduate (taught),Part-time,England,Female,2019/20,2455
04 Psychology,Postgraduate (taught),Part-time,England,Male,2019/20,580
04 Psychology,Postgraduate (taught),Part-time,England,Other,2019/20,5
04 Psychology,Postgraduate (taught),Part-time,England,Total,2019/20,3040
